SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
184  208  2025-06-05 20-36-20  14409.6  2152.32  140432  0  1872  0  0
185  208  2025-06-05 20-36-20  14411.2  2146.39  140432  0  1872  0  0
186  208  2025-06-05 20-36-20  14412.8  2140.66  140432  0  1872  0  0
187  208  2025-06-05 20-36-20  14414.4  2135.13  140432  0  1872  0  0
188  208  2025-06-05 20-36-20  14416  2129.82  140432  0  1872  0  0
189  208  2025-06-05 20-36-20  14417.6  2124.71  140432  0  1872  0  0
190  208  2025-06-05 20-36-20  14419.2  2119.82  140432  0  1872  0  0
191  208  2025-06-05 20-36-20  14420.8  2115.15  140432  0  1872  0  0
192  208  2025-06-05 20-36-20  14422.4  2110.7  140432  0  1872  0  0
193  208  2025-06-05 20-36-20  14424  2106.48  140432  0  1872  0  0
194  208  2025-06-05 20-36-20  14425.6  2102.48  140432  0  1872  0  0
195  208  2025-06-05 20-36-20  14427.2  2098.72  140432  0  1872  0  0
196  208  2025-06-05 20-36-20  14428.8  2095.19  140432  0  1872  0  0
197  208  2025-06-05 20-36-20  14430.4  2091.9  140432  0  1872  0  0
198  208  2025-06-05 20-36-20  14432  2088.84  140432  0  1872  0  0
199  208  2025-06-05 20-36-20  14433.6  2086.03  140432  0  1872  0  0
200  208  2025-06-05 20-36-20  14435.2  2083.47  140432  0  1872  0  0
201  208  2025-06-05 20-36-20  14436.8  2081.15  140432  0  1872  0  0
202  208  2025-06-05 20-36-20  14438.4  2079.08  140432  0  1872  0  0
203  208  2025-06-05 20-36-20  14440  2077.26  140432  0  1872  0  0
204  208  2025-06-05 20-36-20  14441.6  2075.69  140432  0  1872  0  0
205  208  2025-06-05 20-36-20  14443.2  2074.38  140432  0  1872  0  0
206  208  2025-06-05 20-36-20  14444.8  2073.32  140432  0  1872  0  0
207  208  2025-06-05 20-36-20  14446.4  2072.51  140432  0  1872  0  0
208  208  2025-06-05 20-36-20  14448  2071.96  140432  0  1872  0  0
209  208  2025-06-05 20-36-20  14449.6  2071.67  140432  0  1872  0  0
210  208  2025-06-05 20-36-20  14451.2  2071.63  140432  0  1872  0  0
