Step,id,x,y,Vel,Yaw
32,2,97.5652,126.811,8.00033,101.721
32,3,97.5652,-126.811,8.00033,78.2792
32,4,249.034,125.991,9.40548,106.183
32,5,249.034,-125.991,9.40548,73.8167
32,6,324.447,1.49689e-15,9.40548,90
32,7,526.4,0,8,90
33,1,25.3975,1.5551e-15,9.5061,90
33,2,98.3531,126.645,8.0525,101.917
33,3,98.3531,-126.645,8.0525,78.0831
33,4,249.945,125.72,9.5061,106.586
33,5,249.945,-125.72,9.5061,73.4141
33,6,325.397,1.5551e-15,9.5061,90
33,7,527.2,0,8,90
34,1,26.358,1.61391e-15,9.60492,90
34,2,99.1455,126.475,8.10466,102.114
34,3,99.1455,-126.475,8.10466,77.8861
34,4,250.863,125.439,9.60492,106.983
34,5,250.863,-125.439,9.60492,73.0175
34,6,326.358,1.61391e-15,9.60492,90
34,7,528,0,8,90
35,1,27.3282,1.67331e-15,9.70196,90
35,2,99.9424,126.301,8.15682,102.312
35,3,99.9424,-126.301,8.15682,77.6881
35,4,251.789,125.149,9.70196,107.373
35,5,251.789,-125.149,9.70196,72.6268
35,6,327.328,1.67331e-15,9.70196,90
35,7,528.8,0,8,90
36,1,28.3079,1.7333e-15,9.79725,90
36,2,100.744,126.123,8.20898,102.511
36,3,100.744,-126.123,8.20898,77.489
36,4,252.722,124.851,9.79725,107.758
36,5,252.722,-124.851,9.79725,72.2422
36,6,328.308,1.7333e-15,9.79725,90
36,7,529.6,0,8,90
37,1,29.297,1.79386e-15,9.89083,90
37,2,101.55,125.941,8.26114,102.711
37,3,101.55,-125.941,8.26114,77.289
37,4,253.662,124.543,9.89083,108.137
37,5,253.662,-124.543,9.89083,71.8634
37,6,329.297,1.79386e-15,9.89083,90
37,7,530.4,0,8,90
38,1,30.2953,1.85499e-15,9.98272,90
38,2,102.36,125.756,8.3133,102.912
38,3,102.36,-125.756,8.3133,77.088
38,4,254.609,124.226,9.98272,108.509
38,5,254.609,-124.226,9.98272,71.4906
38,6,330.295,1.85499e-15,9.98272,90
38,7,531.2,0,8,90
39,1,31.3026,1.91667e-15,10.073,90
39,2,103.175,125.566,8.36546,103.114
39,3,103.175,-125.566,8.36546,76.886
39,4,255.562,123.9,10.073,108.876
39,5,255.562,-123.9,10.073,71.1237
39,6,331.303,1.91667e-15,10.073,90
39,7,532,0,8,90
40,1,32.3187,1.97889e-15,10.1616,90
40,2,103.994,125.372,8.41762,103.317
40,3,103.994,-125.372,8.41762,76.6829
40,4,256.521,123.565,10.1616,109.237
40,5,256.521,-123.565,10.1616,70.7627
40,6,332.319,1.97889e-15,10.1616,90
40,7,532.799,0,8,90
41,1,33.3436,2.04164e-15,10.2486,90
41,2,104.817,125.174,8.46978,103.521
41,3,104.817,-125.174,8.46978,76.4789
41,4,257.487,123.221,10.2486,109.593
41,5,257.487,-123.221,10.2486,70.4075
41,6,333.344,2.04164e-15,10.2486,90
41,7,533.599,0,8,90
42,1,34.377,2.10491e-15,10.3341,90
42,2,105.645,124.972,8.52194,103.726
42,3,105.645,-124.972,8.52194,76.2739
42,4,258.458,122.869,10.3341,109.942
42,5,258.458,-122.869,10.3341,70.0581
42,6,334.377,2.10491e-15,10.3341,90
42,7,534.399,0,8,90
43,1,35.4188,2.1687e-15,10.418,90
43,2,106.477,124.765,8.5741,103.932
